int_number,city,state,first_analysis_yr,last_analysis_yr,n_approaches,int_type,lighting_count,exclusive_ltl_count,two_way_count,rtor_permitted_count,ind_tx_count,ind_ca_count,ind_mn_count,ind_twltl_count,ind_ow_count,ind_2u_count,ind_divided_count,ind_30or35_count,ind_40__count,ind_sharrow_count,ind_bikelane_count,ind_sidepath_count,numpsl_min,numpsl_max,numpsl_sum,num_lanes_min,num_lanes_max,num_lanes_sum,bulb_outs_min,bulb_outs_max,bulb_outs_sum,count_ltl_min,count_ltl_max,count_ltl_sum,count_rtl_min,count_rtl_max,count_rtl_sum,count_rtor_min,count_rtor_max,count_rtor_sum,liquor_stores_0_1mi_min,liquor_stores_0_1mi_max,liquor_stores_0_1mi_sum,transit_daily_trips_0_5mi_min,transit_daily_trips_0_5mi_max,transit_daily_trips_0_5mi_sum,park_distance_min,park_distance_mean,park_distance_max,school_distance_min,school_distance_mean,school_distance_max,park_distance_has_500ft,park_distance_has_qtrmi,park_distance_has_halfmi,school_distance_has_500ft,school_distance_has_qtrmi,school_distance_has_halfmi,duration_yrs,avg_aadt_min,avg_aadt_max,avg_aadt_sum,avg_aadt_mean,avg_popden_min,avg_popden_max,avg_popden_sum,avg_popden_mean,avg_empden_min,avg_empden_max,avg_empden_sum,avg_empden_mean,avg_avgwindspd_min,avg_avgwindspd_max,avg_avgwindspd_sum,avg_avgwindspd_mean,avg_fraccombike_min,avg_fraccombike_max,avg_fraccombike_sum,avg_fraccombike_mean,avg_fraccomwalk_min,avg_fraccomwalk_max,avg_fraccomwalk_sum,avg_fraccomwalk_mean,avg_aadb_min,avg_aadb_max,avg_aadb_sum,avg_aadb_mean,avg_aadp_min,avg_aadp_max,avg_aadp_sum,avg_aadp_mean,sum_totalcrash,sum_pedcrash,sum_bikecrash,sum_kacrash,sum_daycrash,sum_nightcrash,sum_dawnduskcrash,sum_ka_nightcrashes,sum_ped_k_a,sum_ped_night,sum_ped_nightk_a,sum_bike_k_a,sum_bike_night,sum_bike_nightk_a
146,Los Angeles,CA,2014.0,2022.0,3,3ST 2x2,3,2,3,3,0,3,0,1,0,1,0,0,2,0,0,0,25.0,40.0,105.0,2.0,5.0,12.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,23.0,23.0,69.0,430.0,430.0,430.0,167.0,167.0,167.0,1,1,1,1,1,1,9,5658.444444444444,39264.0,57550.11111111111,19183.37037037037,4964.111111111111,4964.111111111111,14892.333333333334,4964.111111111111,5648.0,5648.0,16944.0,5648.0,1.688888888888889,1.688888888888889,5.066666666666667,1.688888888888889,0.005734712555555556,0.005734712555555556,0.017204137666666668,0.005734712555555556,0.011190151333333334,0.011190151333333334,0.033570454,0.011190151333333334,117.26489599357052,167.7138597864547,413.28653277686766,137.76217759228922,469.6046958819857,880.765370094641,2024.8158333419476,674.9386111139825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,Los Angeles,CA,2014.0,2022.0,3,3ST 2x2,2,1,3,3,0,3,0,0,0,2,0,3,0,0,0,0,30.0,30.0,90.0,2.0,4.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,69.0,1332.0,1332.0,1332.0,282.0,282.0,282.0,0,0,1,1,1,1,9,597.6666666666666,3424.1111111111113,5803.888888888889,1934.6296296296298,1827.888888888889,1827.888888888889,5483.666666666667,1827.888888888889,14349.0,14349.0,43047.0,14349.0,1.688888888888889,1.688888888888889,5.066666666666667,1.688888888888889,0.0038678174444444443,0.0038678174444444443,0.011603452333333335,0.0038678174444444443,0.01644316722222222,0.01644316722222222,0.04932950166666667,0.01644316722222222,76.2560915094218,98.34461980211229,253.55647957168048,84.5188265238935,336.463409809707,416.334659003617,1089.2614786230313,363.0871595410104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,Los Angeles,CA,2014.0,2022.0,4,4ST 2x2,4,0,4,4,0,4,0,0,0,4,0,2,0,0,0,0,25.0,30.0,110.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,20.0,638.0,638.0,638.0,416.0,416.0,416.0,0,1,1,1,1,1,9,1397.3333333333333,33051.0,68896.66666666667,17224.166666666668,7275.0,7275.0,29100.0,7275.0,5947.0,5947.0,23788.0,5947.0,1.688888888888889,1.688888888888889,6.755555555555556,1.688888888888889,0.004458698666666667,0.004458698666666667,0.017834794666666667,0.004458698666666667,0.011350943301111112,0.011350943301111112,0.04540377320444445,0.011350943301111112,97.2332325446669,145.3071240306338,485.0807131506014,121.27017828765035,506.4356456599371,615.4768041205419,2243.824899560958,560.9562248902395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,Los Angeles,CA,2014.0,2022.0,4,4ST 2x2,4,0,4,4,0,4,0,0,0,4,0,2,0,0,0,0,25.0,35.0,120.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,76.0,589.0,589.0,589.0,762.0,762.0,762.0,0,1,1,0,1,1,9,3699.222222222222,11298.666666666666,29101.88888888889,7275.472222222223,10635.444444444445,10635.444444444445,42541.77777777778,10635.444444444445,1142.0,1142.0,4568.0,1142.0,1.688888888888889,1.688888888888889,6.755555555555556,1.688888888888889,0.0006765237777777778,0.0006765237777777778,0.002706095111111111,0.0006765237777777778,0.005192655444444444,0.005192655444444444,0.020770621777777776,0.005192655444444444,99.87791801074228,120.70881701220699,441.59489538138394,110.39872384534598,525.3701525825353,638.4881184073414,2327.716541979753,581.9291354949382,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521,Los Angeles,CA,2014.0,2022.0,3,3ST 2x2,3,2,3,3,0,3,0,2,0,1,0,2,0,0,0,0,25.0,35.0,95.0,2.0,5.0,12.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,132.0,415.0,415.0,415.0,444.0,444.0,444.0,1,1,1,1,1,1,9,1372.2222222222222,29333.444444444445,60039.11111111111,20013.037037037036,11901.333333333334,11901.333333333334,35704.0,11901.333333333334,3862.0,3862.0,11586.0,3862.0,1.688888888888889,1.688888888888889,5.066666666666667,1.688888888888889,0.0062706586111111115,0.0062706586111111115,0.018811975833333335,0.0062706586111111115,0.016076912777777775,0.016076912777777775,0.04823073833333333,0.016076912777777775,142.04600511403896,147.05322073077798,436.152446575595,145.38414885853166,634.9626892075718,895.6648037407026,2165.5901821558464,721.8633940519487,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,Los Angeles,CA,2014.0,2022.0,3,3ST 2x2,3,2,3,3,0,3,0,1,0,1,0,2,0,0,0,0,25.0,35.0,95.0,2.0,5.0,12.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,102.0,648.0,648.0,648.0,70.0,70.0,70.0,0,1,1,1,1,1,9,10055.444444444445,29333.444444444445,68722.33333333333,22907.44444444445,12951.777777777777,12951.777777777777,38855.333333333336,12951.777777777777,1799.0,1799.0,5397.0,1799.0,1.688888888888889,1.688888888888889,5.066666666666667,1.688888888888889,0.001250040768888889,0.001250040768888889,0.0037501223066666667,0.001250040768888889,0.012567951777777779,0.012567951777777779,0.037703855333333335,0.012567951777777779,121.10816812543327,142.00809992644616,392.06627677906744,130.6887589263558,726.6998601457718,1043.685570264093,2795.452727557908,931.8175758526361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,Los Angeles,CA,2014.0,2022.0,3,3ST 2x2,3,0,3,3,0,3,0,0,0,1,0,2,0,0,0,0,25.0,35.0,95.0,2.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,111.0,418.0,418.0,418.0,508.0,508.0,508.0,1,1,1,0,1,1,9,1283.4444444444443,28280.444444444445,57844.333333333336,19281.444444444445,13264.777777777777,13264.777777777777,39794.333333333336,13264.777777777777,3145.0,3145.0,9435.0,3145.0,1.688888888888889,1.688888888888889,5.066666666666667,1.688888888888889,0.0029408995555555554,0.0029408995555555554,0.008822698666666665,0.0029408995555555554,0.01564856066666667,0.01564856066666667,0.046945682,0.01564856066666667,133.31143957335541,161.9195155915331,457.15047075642167,152.38349025214055,885.4828909790621,901.5658958214811,2688.6146826220242,896.2048942073415,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
665,Los Angeles,CA,2014.0,2022.0,3,3ST 2x2,3,0,3,3,0,3,0,0,0,3,0,2,0,0,0,0,25.0,30.0,85.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,28.0,28.0,84.0,790.0,790.0,790.0,184.0,184.0,184.0,0,1,1,1,1,1,9,4698.666666666667,42750.11111111111,90198.88888888889,30066.2962962963,13825.333333333334,13825.333333333334,41476.0,13825.333333333334,2295.0,2295.0,6885.0,2295.0,1.688888888888889,1.688888888888889,5.066666666666667,1.688888888888889,0.001497714888888889,0.001497714888888889,0.0044931446666666664,0.001497714888888889,0.01137654011111111,0.01137654011111111,0.03412962033333333,0.011376540111111109,111.0448438583145,126.82804358077874,348.9177312974077,116.30591043246922,905.0160361249978,1099.8759316520968,2909.908003902092,969.9693346340306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680,Los Angeles,CA,2014.0,2022.0,3,3ST 2x2,3,0,3,3,0,3,0,0,0,3,0,3,0,0,0,0,30.0,30.0,90.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,27.0,27.0,81.0,781.0,781.0,781.0,180.0,180.0,180.0,0,1,1,1,1,1,9,7646.666666666667,42750.11111111111,93146.88888888889,31048.96296296296,13962.555555555555,13962.555555555555,41887.666666666664,13962.555555555555,2151.0,2151.0,6453.0,2151.0,1.688888888888889,1.688888888888889,5.066666666666667,1.688888888888889,0.0015483165555555554,0.0015483165555555554,0.004644949666666666,0.0015483165555555557,0.011478273888888887,0.011478273888888887,0.034434821666666664,0.011478273888888887,102.1583627100186,111.5152978419491,325.1889583939167,108.3963194646389,907.8653982214443,907.8653982214443,2723.596194664333,907.8653982214443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
809,Los Angeles,CA,2014.0,2022.0,3,3ST 2x2,3,2,3,3,0,3,0,1,0,1,0,2,0,0,0,0,25.0,35.0,95.0,2.0,7.0,16.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,22.0,22.0,66.0,1159.0,1159.0,1159.0,194.0,194.0,194.0,0,1,1,1,1,1,9,17266.444444444445,29955.333333333332,77177.11111111111,25725.703703703704,11675.666666666666,11675.666666666666,35027.0,11675.666666666666,742.0,742.0,2226.0,742.0,1.688888888888889,1.688888888888889,5.066666666666667,1.688888888888889,0.00039283233333333334,0.00039283233333333334,0.001178497,0.00039283233333333334,0.008180724333333333,0.008180724333333333,0.024542173,0.008180724333333333,104.49071501015366,122.55051584430622,340.02012096487294,113.34004032162431,655.0590374666913,940.7950965312284,2519.8664172446584,839.9554724148861,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
