,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AADT,,,,,,,,,,,Census Data,,,,,,,,,,,,,,,,,,,,,,Weather Data,,,,,,,,,,,Census Data,,,,,,,,,,,,,,,,,,,,,,,,,,Indicator Variables,,,,,,,,,,,,Estimates Based on Exposure Models,,,,,,,,,,,,,,,,,,,,,,Crash Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sort,state,city,uniqueID,latitude,longitude,updatedID,int_number,int_type,first_analysis_yr,last_analysis_yr,OLD_use_for_analysis,use_for_analysis,Lighting,leg#,major_minor,street_name,approach_dir,ow_or_tw,speed_limit,numPSL,sch_zone,ped_cross_facility,bike_facility_approach,bike_facility_cross,ped_fence,parking,lanes,median,exclusive_ltl,exclusive_rtl,bulb-outs,rtor,sidewalk_leg,int_radius,sidewalk_intersection,comments,num_lanes,count_LTL,count_RTL,count_RTOR,site_years,AADT2014,AADT2015,AADT2016,AADT2017,AADT2018,AADT2019,AADT2020,AADT2021,AADT2022,AADT2023,AADT2024,PopDen2014,PopDen2015,PopDen2016,PopDen2017,PopDen2018,PopDen2019,PopDen2020,PopDen2021,PopDen2022,PopDen2023,PopDen2024,EmpDen2014,EmpDen2015,EmpDen2016,EmpDen2017,EmpDen2018,EmpDen2019,EmpDen2020,EmpDen2021,EmpDen2022,EmpDen2023,EmpDen2024,AvgWindSpd2014,AvgWindSpd2015,AvgWindSpd2016,AvgWindSpd2017,AvgWindSpd2018,AvgWindSpd2019,AvgWindSpd2020,AvgWindSpd2021,AvgWindSpd2022,AvgWindSpd2023,AvgWindSpd2024,FracComBike2014,FracComBike2015,FracComBike2016,FracComBike2017,FracComBike2018,FracComBike2019,FracComBike2020,FracComBike2021,FracComBike2022,FracComBike2023,FracComBike2024,FracComWalk2014,FracComWalk2015,FracComWalk2016,FracComWalk2017,FracComWalk2018,FracComWalk2019,FracComWalk2020,FracComWalk2021,FracComWalk2022,FracComWalk2023,FracComWalk2024,park_distance,school_distance,liquor_stores_0.1mi,transit_daily_trips_0.5mi,ind_TX,ind_CA,ind_MN,ind_TWLTL,ind_OW,ind_2U,ind_divided,ind_30or35,ind_40+,ind_sharrow,ind_bikelane,ind_sidepath,AADB2014,AADB2015,AADB2016,AADB2017,AADB2018,AADB2019,AADB2020,AADB2021,AADB2022,AADB2023,AADB2024,AADP2014,AADP2015,AADP2016,AADP2017,AADP2018,AADP2019,AADP2020,AADP2021,AADP2022,AADP2023,AADP2024,TotalCrash2014,TotalCrash2015,TotalCrash2016,TotalCrash2017,TotalCrash2018,TotalCrash2019,TotalCrash2020,TotalCrash2021,TotalCrash2022,TotalCrash2023,TotalCrash2024,SumTotalCrash,PedCrash2014,PedCrash2015,PedCrash2016,PedCrash2017,PedCrash2018,PedCrash2019,PedCrash2020,PedCrash2021,PedCrash2022,PedCrash2023,PedCrash2024,SumPedCrash,BikeCrash2014,BikeCrash2015,BikeCrash2016,BikeCrash2017,BikeCrash2018,BikeCrash2019,BikeCrash2020,BikeCrash2021,BikeCrash2022,BikeCrash2023,BikeCrash2024,SumBikeCrash,KACrash2014,KACrash2015,KACrash2016,KACrash2017,KACrash2018,KACrash2019,KACrash2020,KACrash2021,KACrash2022,KACrash2023,KACrash2024,SumKACrash,DayCrash2014,DayCrash2015,DayCrash2016,DayCrash2017,DayCrash2018,DayCrash2019,DayCrash2020,DayCrash2021,DayCrash2022,DayCrash2023,DayCrash2024,SumDayCrash,NightCrash2014,NightCrash2015,NightCrash2016,NightCrash2017,NightCrash2018,NightCrash2019,NightCrash2020,NightCrash2021,NightCrash2022,NightCrash2023,NightCrash2024,SumNightCrash,DawnDuskCrash2014,DawnDuskCrash2015,DawnDuskCrash2016,DawnDuskCrash2017,DawnDuskCrash2018,DawnDuskCrash2019,DawnDuskCrash2020,DawnDuskCrash2021,DawnDuskCrash2022,DawnDuskCrash2023,DawnDuskCrash2024,SumDawnDuskCrash,KA-NightCrashes2014,KA-NightCrashes2015,KA-NightCrashes2016,KA-NightCrashes2017,KA-NightCrashes2018,KA-NightCrashes2019,KA-NightCrashes2020,KA-NightCrashes2021,KA-NightCrashes2022,KA-NightCrashes2023,KA-NightCrashes2024,SumKA-NightCrashes,Ped_K&A_2014,Ped_K&A_2015,Ped_K&A_2016,Ped_K&A_2017,Ped_K&A_2018,Ped_K&A_2019,Ped_K&A_2020,Ped_K&A_2021,Ped_K&A_2022,Ped_K&A_2023,Ped_K&A_2024,Sum_Ped_K&A,Ped_Night_2014,Ped_Night_2015,Ped_Night_2016,Ped_Night_2017,Ped_Night_2018,Ped_Night_2019,Ped_Night_2020,Ped_Night_2021,Ped_Night_2022,Ped_Night_2023,Ped_Night_2024,Sum_Ped_Night,Ped_NightK&A_2014,Ped_NightK&A_2015,Ped_NightK&A_2016,Ped_NightK&A_2017,Ped_NightK&A_2018,Ped_NightK&A_2019,Ped_NightK&A_2020,Ped_NightK&A_2021,Ped_NightK&A_2022,Ped_NightK&A_2023,Ped_NightK&A_2024,Sum_Ped_Night&KA,Bike_K&A_2014,Bike_K&A_2015,Bike_K&A_2016,Bike_K&A_2017,Bike_K&A_2018,Bike_K&A_2019,Bike_K&A_2020,Bike_K&A_2021,Bike_K&A_2022,Bike_K&A_2023,Bike_K&A_2024,Sum_Bike_K&A,Bike_Night_2014,Bike_Night_2015,Bike_Night_2016,Bike_Night_2017,Bike_Night_2018,Bike_Night_2019,Bike_Night_2020,Bike_Night_2021,Bike_Night_2022,Bike_Night_2023,Bike_Night_2024,Sum_Bike_Night,Bike_NightK&A_2014,Bike_NightK&A_2015,Bike_NightK&A_2016,Bike_NightK&A_2017,Bike_NightK&A_2018,Bike_NightK&A_2019,Bike_NightK&A_2020,Bike_NightK&A_2021,Bike_NightK&A_2022,Bike_NightK&A_2023,Bike_NightK&A_2024,Sum_Bike_Night&KA
59,TX,Houston,TX-033_Leg-1,29.52294216,-95.07638672,TX_08f446c11c6644c604369f5b53aab81e,08f446c11c6644c604369f5b53aab81e,3SG 2x2,2014,2016,Yes,Yes,Present,1,Maj1,Main St,SB,Two-way,40 mph,40,Not applicable (no school zone at this location),Signalized without refuge,"None (i.e., no bicycle facilities and no paved shoulder)","No bicycle path, no pedestrian crossing facility, or no intersection present",None,None,Five lanes,Physical median width ? 3 ft,Present,Not present,0,Permitted,Both sides,115,3/3 - yes,Physical median less than 3 feet 4Sg 2x2 after 2017,5,2,2,0,3,24380,27095,26346,26895,25231,27000,22920,23378,24300,26730,27532,1906,1972,2196,2249,2365,2395,1618,1735,1658,1406,1406,649,736,625,776,995,1049,1057,1063,883,883,883,7.6,7.2,7.2,8.1,8.1,8.9,8.9,8.7,9.2,9.2,9.2,0.0053,0.0064,0.008,0.0071,0.0062,0.0036,0.0057,0.0003,0.0004,0.0005,0.0005,0.0041,0.0056,0.0048,0.0017,0.0014,0.0009,0.0015,0.0002,0.0003,0.0008,0.0008,622.286799,589,0,0,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,49,55,56,45,44,36,28,26,35,35,35,65,66,69,70,71,72,36,37,31,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,TX,Houston,TX-033_Leg-2,29.52294216,-95.07638672,TX_08f446c11c6644c604369f5b53aab81e,08f446c11c6644c604369f5b53aab81e,3SG 2x2,2014,2016,Yes,Yes,Present,2,Min1,Deke Slayton Hwy,WB,Two-way,40 mph,40,Not applicable (no school zone at this location),Signalized with refuge,"None (i.e., no bicycle facilities and no paved shoulder)","No bicycle path, no pedestrian crossing facility, or no intersection present",None,None,Five lanes,Physical median width ? 3 ft,Present,Channelized right-turn lane,0,Permitted,Both sides,115,3/3 - yes, 4Sg 2x2 after 2018,5,,,,3,21947,27095,26346,26895,25231,27000,22920,23378,24300,26730,27532,1906,1972,2196,2249,2365,2395,1618,1735,1658,1406,1406,649,736,625,776,995,1049,1057,1063,883,883,883,7.6,7.2,7.2,8.1,8.1,8.9,8.9,8.7,9.2,9.2,9.2,0.0053,0.0064,0.008,0.0071,0.0062,0.0036,0.0057,0.0003,0.0004,0.0005,0.0005,0.0041,0.0056,0.0048,0.0017,0.0014,0.0009,0.0015,0.0002,0.0003,0.0008,0.0008,622.286799,589,0,0,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,49,55,56,45,44,36,28,26,35,35,35,65,66,69,70,71,72,36,37,31,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,TX,Houston,TX-033_Leg-3,29.52294216,-95.07638672,TX_08f446c11c6644c604369f5b53aab81e,08f446c11c6644c604369f5b53aab81e,3SG 2x2,2014,2016,Yes,Yes,Present,3,Maj2,Main St,NB,Two-way,40 mph,40,Not applicable (no school zone at this location),No crossing facility,"None (i.e., no bicycle facilities and no paved shoulder)","No bicycle path, no pedestrian crossing facility, or no intersection present",None,None,Six lanes,Physical median width ? 3 ft,Not present,Channelized right-turn lane,0,Permitted,One side,115,3/3 - yes, 4Sg 2x2 after 2019,6,,,,3,24380,27095,26346,26895,25231,27000,22920,23378,24300,26730,27532,1906,1972,2196,2249,2365,2395,1618,1735,1658,1406,1406,649,736,625,776,995,1049,1057,1063,883,883,883,7.6,7.2,7.2,8.1,8.1,8.9,8.9,8.7,9.2,9.2,9.2,0.0053,0.0064,0.008,0.0071,0.0062,0.0036,0.0057,0.0003,0.0004,0.0005,0.0005,0.0041,0.0056,0.0048,0.0017,0.0014,0.0009,0.0015,0.0002,0.0003,0.0008,0.0008,622.286799,589,0,0,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,49,55,56,45,44,36,28,26,35,35,35,65,66,69,70,71,72,36,37,31,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,TX,Houston,TX-040_Leg-1,29.54102632,-95.01997033,TX_08f446c1ad68a972047faee3fc2e952e,08f446c1ad68a972047faee3fc2e952e,3SG 2x2,2014,2018,Yes,Yes,Present,1,Maj1,TX 146,SB,Two-way,45 mph,45,Not applicable (no school zone at this location),Signalized without refuge,"None (i.e., no bicycle facilities and no paved shoulder)","No bicycle path, no pedestrian crossing facility, or no intersection present",None,None,Four lanes,Central hatching or other flush separation (> 3 ft),Not present,Channelized right-turn lane,0,Permitted,One side,100,3/3 - yes,Construction in 2019 -,4,2,2,0,5,36041,20723,21397,20727,22429,22429,15573,14895,16385,13915,13862,1722,1895,2079,2153,2173,2288,1649,1557,1493,1515,1515,2035,2183,2470,2450,2563,2519,2202,2162,2090,2090,2090,7.6,7.2,7.2,8.1,8.1,8.9,8.9,8.7,9.2,9.2,9.2,0.0015,0.0017,0.0016,0,0.0001,0.0042,0.0045,0.004,0.0038,0.0029,0.0029,0.0126,0.0092,0.0089,0.0075,0.0018,0.0019,0.0014,0.0017,0.0022,0.002,0.002,3022.733355,551,3,0,Yes,No,No,No,No,No,No,No,Yes,No,No,No,16,17,17,13,13,12,9,9,12,12,12,69,72,75,77,77,79,41,40,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,TX,Houston,TX-040_Leg-2,29.54102632,-95.01997033,TX_08f446c1ad68a972047faee3fc2e952e,08f446c1ad68a972047faee3fc2e952e,3SG 2x2,2014,2018,Yes,Yes,Present,2,Maj2,TX 146,NB,Two-way,45 mph,45,Not applicable (no school zone at this location),Signalized without refuge,"None (i.e., no bicycle facilities and no paved shoulder)","No bicycle path, no pedestrian crossing facility, or no intersection present",None,None,Five lanes,Centerline only (no median),Present,Not present,0,Permitted,One side,100,3/3 - yes,Construction in 2019 -,5,,,,5,36041,20723,21397,20727,22429,22429,15573,14895,16385,13915,13862,1722,1895,2079,2153,2173,2288,1649,1557,1493,1515,1515,2035,2183,2470,2450,2563,2519,2202,2162,2090,2090,2090,7.6,7.2,7.2,8.1,8.1,8.9,8.9,8.7,9.2,9.2,9.2,0.0015,0.0017,0.0016,0,0.0001,0.0042,0.0045,0.004,0.0038,0.0029,0.0029,0.0126,0.0092,0.0089,0.0075,0.0018,0.0019,0.0014,0.0017,0.0022,0.002,0.002,3022.733355,551,3,0,Yes,No,No,No,No,No,No,No,Yes,No,No,No,16,17,17,13,13,12,9,9,12,12,12,69,72,75,77,77,79,41,40,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,TX,Houston,TX-040_Leg-3,29.54102632,-95.01997033,TX_08f446c1ad68a972047faee3fc2e952e,08f446c1ad68a972047faee3fc2e952e,3SG 2x2,2014,2018,Yes,Yes,Present,3,Min1,Marina Bay Dr,EB,Two-way,40 mph,40,Not applicable (no school zone at this location),No crossing facility,"None (i.e., no bicycle facilities and no paved shoulder)","No bicycle path, no pedestrian crossing facility, or no intersection present",None,None,Five lanes,Physical median width ? 3 ft,Present,Channelized right-turn lane,0,Permitted,One side,100,3/3 - yes,Construction in 2019 -,5,,,,5,19036,20723,21397,20727,22429,22429,15573,14895,16385,13915,13862,1722,1895,2079,2153,2173,2288,1649,1557,1493,1515,1515,2035,2183,2470,2450,2563,2519,2202,2162,2090,2090,2090,7.6,7.2,7.2,8.1,8.1,8.9,8.9,8.7,9.2,9.2,9.2,0.0015,0.0017,0.0016,0,0.0001,0.0042,0.0045,0.004,0.0038,0.0029,0.0029,0.0126,0.0092,0.0089,0.0075,0.0018,0.0019,0.0014,0.0017,0.0022,0.002,0.002,3022.733355,551,3,0,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,22,23,23,19,18,17,12,13,17,16,16,64,67,70,71,71,73,38,37,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,TX,Houston,TX-109_Leg-1,29.266528,-94.826278,TX_08f446cc008660d6043bef7aef3fcccf,08f446cc008660d6043bef7aef3fcccf,3SG 2x2,2014,2024,Yes,Yes,Present,1,Maj1,Seawall Blvd,EB,Two-way,40 mph,40,Not applicable (no school zone at this location),Signalized without refuge,Paved shoulder present (any shoulder width),"No bicycle path, no pedestrian crossing facility, or no intersection present",None,One side,Six lanes,Wide centerline (1 to 3 ft),Present,Not present,0,Permitted,Both sides,90,3/3 - yes,,6,2,2,0,11,28815,23249,23481,14842,14339,13849,13850,14144,16129,12690,13446,2266,2497,2338,2532,2475,2388,2300,2485,2402,2589,2589,2623,2718,2870,3022,2828,2695,2209,2343,2702,2702,2702,7.6,7.2,7.2,8.1,8.1,8.9,8.9,8.7,9.2,9.2,9.2,0.0091,0.0147,0.0037,0.0019,0.002,0.0049,0.0103,0.0101,0.0133,0.0249,0.0249,0.0339,0.0272,0.0268,0.0433,0.0386,0.026,0.0261,0.0348,0.0254,0.0332,0.0332,109.968574,363,0,0,Yes,No,No,No,No,No,No,No,Yes,No,No,No,50,58,49,40,39,33,27,29,40,48,48,94,98,96,99,98,96,56,58,49,50,50,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,TX,Houston,TX-109_Leg-2,29.266528,-94.826278,TX_08f446cc008660d6043bef7aef3fcccf,08f446cc008660d6043bef7aef3fcccf,3SG 2x2,2014,2024,Yes,Yes,Present,2,Min1,61st st,SB,Two-way,40 mph,40,Not applicable (no school zone at this location),Signalized without refuge,Paved shoulder present (any shoulder width),"No bicycle path, no pedestrian crossing facility, or no intersection present",None,None,Six lanes,Physical median width ? 3 ft,Present,Channelized right-turn lane,0,Permitted,One side,90,3/3 - yes,,6,,,,11,18620,23249,23481,14842,14339,13849,13850,14144,16129,12690,13446,2266,2497,2338,2532,2475,2388,2300,2485,2402,2589,2589,2623,2718,2870,3022,2828,2695,2209,2343,2702,2702,2702,7.6,7.2,7.2,8.1,8.1,8.9,8.9,8.7,9.2,9.2,9.2,0.0091,0.0147,0.0037,0.0019,0.002,0.0049,0.0103,0.0101,0.0133,0.0249,0.0249,0.0339,0.0272,0.0268,0.0433,0.0386,0.026,0.0261,0.0348,0.0254,0.0332,0.0332,109.968574,363,0,0,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,69,81,68,56,55,47,38,41,56,68,68,87,91,89,92,91,89,52,54,45,46,46,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,TX,Houston,TX-109_Leg-3,29.266528,-94.826278,TX_08f446cc008660d6043bef7aef3fcccf,08f446cc008660d6043bef7aef3fcccf,3SG 2x2,2014,2024,Yes,Yes,Present,3,Maj2,Seawall Blvd,WB,Two-way,35 mph,35,Not applicable (no school zone at this location),No crossing facility,Paved shoulder present (any shoulder width),"No bicycle path, no pedestrian crossing facility, or no intersection present",None,One side,Five lanes,Central hatching or other flush separation (> 3 ft),Not present,Conventional right-turn lane,0,Permitted,Both sides,90,3/3 - yes,,5,,,,11,28815,23249,23481,14842,14339,13849,13850,14144,16129,12690,13446,2266,2497,2338,2532,2475,2388,2300,2485,2402,2589,2589,2623,2718,2870,3022,2828,2695,2209,2343,2702,2702,2702,7.6,7.2,7.2,8.1,8.1,8.9,8.9,8.7,9.2,9.2,9.2,0.0091,0.0147,0.0037,0.0019,0.002,0.0049,0.0103,0.0101,0.0133,0.0249,0.0249,0.0339,0.0272,0.0268,0.0433,0.0386,0.026,0.0261,0.0348,0.0254,0.0332,0.0332,109.968574,363,0,0,Yes,No,No,No,No,No,No,Yes,No,No,No,No,70,81,68,56,55,47,38,41,56,67,68,125,131,127,132,130,128,75,78,65,67,67,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
